filename,len_in_sec,MOS_SSL
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ011-0231_seg_2_snr_6_0-5.wav,4.291,2.6535964
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ031-0113_seg_5_snr_23_0-5.wav,3.293,4.3309803
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ017-0027_seg_4_snr_24_0-5.wav,2.677,3.9573832
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ040-0106_seg_4_snr_9_0-5.wav,4.245,2.113671
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ049-0087_seg_3_snr_24_0-5.wav,5.0,4.151958
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ012-0010_seg_4_snr_13_5-10.wav,2.739,4.5933356
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ003-0311_seg_1_snr_19_0-5.wav,5.0,4.3560905
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ007-0034_seg_5_snr_18_5-10.wav,3.738,3.3454707
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ012-0052_seg_3_snr_7_0-5.wav,5.0,2.9776297
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ031-0079_seg_1_snr_13_0-5.wav,5.0,3.454383
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ048-0024_seg_2_snr_21_0-5.wav,5.0,4.1113625
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ048-0233_seg_5_snr_11_5-10.wav,3.25,1.5921006
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ036-0162_seg_1_snr_19_5-10.wav,4.841,4.6034107
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ022-0073_seg_4_snr_11_0-5.wav,5.0,2.3129861
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ008-0057_seg_1_snr_13_5-10.wav,3.331,4.222184
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ046-0067_seg_5_snr_21_0-5.wav,5.0,3.555059
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_5s/LJ033-0184_seg_1_snr_18_5-10.wav,1.091,1.5713682
